,Corr,P
IGFBP5,-0.524861749731575,8.18403310072225e-37
IGFBP6,-0.481043107894907,2.2364097841615e-30
IGFBP7,-0.531572584507957,6.9505320626902e-38
IGSF1,-0.419679490966661,8.55889326870769e-23
IKBIP,-0.527930364268319,2.66828744653305e-37
IKBKB,-0.416449088229313,1.95147408034095e-22
IKZF2,-0.478954496912114,4.3024305309959e-30
IKZF4,-0.421957515922489,4.76059568071546e-23
IL13RA1,-0.418715877680405,1.09546096892448e-22
IL13RA2,-0.436869708860455,9.14694289976561e-25
IL17RD,-0.459128269940132,1.7214553199968e-27
IL18R1,-0.432485908736175,2.98352144419528e-24
IL1R1,-0.502516833863561,2.04940361940604e-33
IL1R2,-0.443628329039315,1.42848311145181e-25
IL1RAP,-0.501895811553517,2.52662664795554e-33
IL6,-0.504957158799311,8.96535665875832e-34
IL6R,-0.411942049992062,6.07189322859556e-22
IMPG1,-0.453503953338187,8.78241387093587e-27
IMPG2,-0.419218779705929,9.6317249351477e-23
INAVA,-0.450380560189317,2.14284993419877e-26
ING1,-0.416589038812513,1.883370571048e-22
INHBA,-0.601058797430005,1.57986955842525e-50
INHBB,-0.520603708929811,3.80353308276569e-36
INO80D,-0.407967649485575,1.62879992935186e-21
INPP4A,-0.453704376979229,8.29124146091709e-27
INPP5D,-0.433349476302044,2.36687330473693e-24
INTS6L,-0.494472642392713,2.98492319802873e-32
IP6K2,-0.403902485283357,4.40852432866691e-21
IQCA1,-0.447733784613508,4.53042289916635e-26
IQCN,-0.507160112945301,4.22606733962035e-34
IRAK2,-0.467107526035705,1.61820985521513e-28
IRAK3,-0.509223931093475,2.07858658435943e-34
IRF9,-0.475836012586058,1.1333655470688e-29
IRX3,-0.444968496665265,9.83591727496897e-26
ISLR2,-0.500351056659154,4.24498063923779e-33
ISYNA1,-0.501403288775182,2.98202072765945e-33
ITGA11,-0.470915594050402,5.12106615803646e-29
ITGA2,-0.447559364442064,4.75845282340999e-26
ITGA5,-0.541249132329701,1.79853287244099e-39
ITGA7,-0.406859952331817,2.13937280993165e-21
ITGA8,-0.406046740942314,2.61181026399008e-21
ITGA9,-0.426927100442071,1.30352990412572e-23
ITGB1,-0.405490746154829,2.99261681329101e-21
ITGB1BP2,-0.46453824355106,3.4884677243596e-28
ITGB4,-0.504956126254703,8.9685061264496e-34
ITGB5,-0.449430716355644,2.8054624984572e-26
ITGB8,-0.411981962342736,6.01161802756495e-22
ITGBL1,-0.568252359679887,3.48730136574439e-44
ITIH3,-0.400567044026893,9.87827475527526e-21
ITPRIP,-0.518425296042694,8.27759529677976e-36
ITPRIPL2,-0.403640500130894,4.69848892960446e-21
ITSN1,-0.456317691780854,3.90121342851522e-27
JAG1,-0.589872864904004,2.77580576072332e-48
JAG2,-0.479620714825479,3.49369565348763e-30
JAM2,-0.409530066820202,1.1068350493227e-21
JAM3,-0.459947716902845,1.35419619981946e-27
JARID2,-0.412612298562867,5.13436835501835e-22
JPH4,-0.419193367561469,9.69461692151891e-23
JUNB,-0.520810736190089,3.53154448759515e-36
JUND,-0.402835573039923,5.71219681306744e-21
KANK2,-0.485051996167664,6.28952187214276e-31
KBTBD2,-0.479897698356959,3.20354151538584e-30
KCNAB3,-0.413685245520205,3.9223432554781e-22
KCNC3,-0.450660106302004,1.97917389037869e-26
KCND1,-0.530136345976104,1.18369369668155e-37
KCNJ2,-0.443150028906441,1.63132178834301e-25
KCNMB1,-0.53841068558416,5.31869224847611e-39
KCNQ3,-0.405151895692361,3.25102939400986e-21
KCNT2,-0.401823928309083,7.29642567263039e-21
KCTD12,-0.439433659840148,4.54451151790641e-25
KCTD17,-0.425212426894587,2.04301974558181e-23
KDM2A,-0.400197907924693,1.07948335014764e-20
KDM5B,-0.442582661128008,1.90907864185257e-25
KDM6B,-0.536357005003915,1.15803466246589e-38
KDM7A,-0.453743796624083,8.19788246915579e-27
KHDC4,-0.41879427194846,1.07371820890336e-22
KHNYN,-0.432871701943819,2.6905617457191e-24
KIAA0895L,-0.402152324024697,6.73970941853292e-21
KIAA1217,-0.501262011814454,3.12703732367049e-33
KIAA1755,-0.480418903211334,2.72070556588375e-30
KIDINS220,-0.416062958304819,2.15223174974413e-22
KIF3C,-0.450826700456829,1.88757411523796e-26
KIRREL1,-0.582128851147126,8.8490203902122e-47
KLC1,-0.44463959155782,1.07808872601325e-25
KLF12,-0.519935020573093,4.83184714272501e-36
KLF4,-0.486869106824005,3.51955498723824e-31
KLF5,-0.480001401780191,3.10115503390856e-30
KLF6,-0.495833650896228,1.90667391143256e-32
KLF7,-0.568155152453554,3.63278570818973e-44
KLF8,-0.455871388973719,4.43932532123371e-27
KLHL17,-0.425607994145364,1.84226073729438e-23
KLK15,0.479961629749299,3.14003346423305e-30
KMT2A,-0.441834764542893,2.34768077367704e-25
KMT2B,-0.419152342220756,9.79700602350771e-23
KMT2E,-0.413936098689716,3.68251048784327e-22
KMT5C,-0.411204141681115,7.30002177564441e-22
KRT15,-0.411082147764267,7.5254234768949e-22
KRT17,-0.518744836518833,7.38786419915959e-36
KRTAP2-3,-0.406218503148898,2.50413998756068e-21
L3MBTL3,-0.509202283566753,2.09416767011987e-34
LACC1,-0.456747746138954,3.44387330086331e-27
LAMA3,-0.475220653354733,1.37046210209831e-29
LAMA4,-0.490213357203301,1.19810791988803e-31
LAMA5,-0.531427495376081,7.33544419744698e-38
LAMB1,-0.610732841770085,1.52953587401066e-52
LAMP5,-0.511831920113657,8.42018897663266e-35
LASP1,-0.485166931499377,6.06337867639882e-31
LCA5,-0.520375906518892,4.12684011065561e-36
LCAT,-0.439257409942046,4.76928200201897e-25
LDLR,-0.454525606871132,6.54685796269815e-27
LDLRAD2,-0.45634477767915,3.87071608750209e-27
LDLRAD3,-0.433939538846457,2.01976817675323e-24
LDLRAD4,-0.446699561773352,6.05922845054118e-26
LENG8,-0.440827072123891,3.09957006235024e-25
LEPR,-0.533803676369594,3.02431615315567e-38
LEPROT,-0.43313687811892,2.50586027460699e-24
LFNG,-0.496705822970788,1.42913931574926e-32
LGALS1,-0.466362713846412,2.02317586594109e-28
LGI4,-0.435690764906177,1.25920535183224e-24
LGR6,-0.473341654116798,2.4419604846183e-29
LHFPL6,-0.584902623053476,2.58823850321426e-47
LIF,-0.498877610220501,6.94608314234063e-33
LIMK1,-0.40325561370755,5.15889603460225e-21
LINC00672,-0.562907295142902,3.23464615001051e-43
LMBR1L,-0.527424923655457,3.21178646538616e-37
LMCD1,-0.650286254170497,1.49883148913017e-61
LMNA,-0.516955229664509,1.39453980368266e-35
LMO3,-0.437809095622349,7.0839135555886e-25
LMO4,-0.444414580868516,1.14784860173363e-25
LMO7,-0.435818757296778,1.21633099232514e-24
LOXL1,-0.645739802276673,1.90306007214503e-60
LOXL2,-0.5253883154331,6.75768655307177e-37
LOXL3,-0.53543053671696,1.64212477810977e-38
LPAR4,-0.497835172103249,9.82693499395761e-33
LPAR6,-0.457401778676022,2.84802394424406e-27
LPCAT4,-0.449670314316707,2.62133606409136e-26
LRCH1,-0.486535153956243,3.91686068093828e-31
LRCH2,-0.456265903483756,3.96018720511122e-27
LRCH3,-0.422473005916513,4.16622751644985e-23
LRFN3,-0.432105260127986,3.30339373019854e-24
LRP1,-0.624344023272006,1.69920957186586e-55
LRP12,-0.405796992982922,2.77655846900296e-21
LRP2BP,-0.453858384378267,7.93236021514922e-27
LRP4,-0.443234265115749,1.59364151623226e-25
LRP5L,-0.445662280135414,8.1028110315801e-26
LRRC15,-0.41001995619777,9.80149714691585e-22
LRRC17,-0.580798040760023,1.58940208708183e-46
LRRC32,-0.478223592325558,5.40374366460337e-30
LRRC8A,-0.418755578158313,1.08439622500966e-22
LRRN4CL,-0.451000567654152,1.79644328939139e-26
LTBP1,-0.599590254443077,3.15048337923721e-50
LTBP2,-0.563016104861488,3.09250073867839e-43
LTBP3,-0.459551694618228,1.52083259073044e-27
LTBP4,-0.551432288957829,3.37401045720571e-41
LUC7L,-0.408663814346007,1.37156751422356e-21
LUM,-0.531169742040758,8.0720499952589e-38
LY6G5B,-0.431177310936612,4.23207102493285e-24
LYST,-0.407083024489151,2.02523050701298e-21
LYVE1,-0.474083203855021,1.94498990721285e-29
LZTS1,-0.624072937125785,1.95215408471112e-55
MACF1,-0.444301477169414,1.18458002923206e-25
MACROD2,-0.415888652750617,2.249407032373e-22
MAFF,-0.496402506370279,1.57999998647467e-32
MAFK,-0.560422229185168,8.98685101536867e-43
MALT1,-0.421047889002698,6.02032374421686e-23
MAMDC2,-0.51869348454027,7.52417579620868e-36
MAML1,-0.438935690554428,5.20824600296845e-25
