"","Freq","Genes"
"BBS12",2,"BBS12"
"BCAP29",2,"BCAP29"
"BCAR3",2,"BCAR3"
"BCAT1",2,"BCAT1"
"BCL9",2,"BCL9"
"BDH1",2,"BDH1"
"BFAR",2,"BFAR"
"BFSP2",2,"BFSP2"
"BGN",2,"BGN"
"BICD1",2,"BICD1"
"BLZF1",2,"BLZF1"
"BOD1L1",2,"BOD1L1"
"BRWD1",2,"BRWD1"
"BSN",2,"BSN"
"BSPRY",2,"BSPRY"
"BTN3A3",2,"BTN3A3"
"C10orf12",2,"C10orf12"
"C10orf2",2,"C10orf2"
"C10orf90",2,"C10orf90"
"C16orf72",2,"C16orf72"
"C16orf86",2,"C16orf86"
"C1R",2,"C1R"
"C2orf16",2,"C2orf16"
"C6",2,"C6"
"C9orf116",2,"C9orf116"
"CA13",2,"CA13"
"CACNA1A",2,"CACNA1A"
"CACNA1G",2,"CACNA1G"
"CACNA2D4",2,"CACNA2D4"
"CAMSAP2",2,"CAMSAP2"
"CARD10",2,"CARD10"
"CASD1",2,"CASD1"
"CASZ1",2,"CASZ1"
"CATSPER4",2,"CATSPER4"
"CCBL2",2,"CCBL2"
"CCDC129",2,"CCDC129"
"CCDC150",2,"CCDC150"
"CCDC158",2,"CCDC158"
"CCDC170",2,"CCDC170"
"CCDC171",2,"CCDC171"
"CCDC39",2,"CCDC39"
"CCDC6",2,"CCDC6"
"CCNG2",2,"CCNG2"
"CCNT1",2,"CCNT1"
"CCT8",2,"CCT8"
"CD163",2,"CD163"
"CD38",2,"CD38"
"CDC27",2,"CDC27"
"CDCA2",2,"CDCA2"
"CDH23",2,"CDH23"
"CDH7",2,"CDH7"
"CDH8",2,"CDH8"
"CDKN2C",2,"CDKN2C"
"CECR2",2,"CECR2"
"CEMIP",2,"CEMIP"
"CENPL",2,"CENPL"
"CEP120",2,"CEP120"
"CEP128",2,"CEP128"
"CEP164",2,"CEP164"
"CEP250",2,"CEP250"
"CEP95",2,"CEP95"
"CFAP46",2,"CFAP46"
"CFAP47",2,"CFAP47"
"CHD2",2,"CHD2"
"CHST5",2,"CHST5"
"CILP",2,"CILP"
"CIRH1A",2,"CIRH1A"
"CLASP1",2,"CLASP1"
"CLCN3",2,"CLCN3"
"CNOT1",2,"CNOT1"
"CNOT10",2,"CNOT10"
"CNOT7",2,"CNOT7"
"CNR2",2,"CNR2"
"CNTNAP1",2,"CNTNAP1"
"COL11A1",2,"COL11A1"
"COL11A2",2,"COL11A2"
"COL12A1",2,"COL12A1"
"COL3A1",2,"COL3A1"
"COL4A4",2,"COL4A4"
"COL5A1",2,"COL5A1"
"COL6A3",2,"COL6A3"
"COQ6",2,"COQ6"
"CORIN",2,"CORIN"
"CPED1",2,"CPED1"
"CPS1",2,"CPS1"
"CPSF2",2,"CPSF2"
"CREB3L3",2,"CREB3L3"
"CTC1",2,"CTC1"
"CTNNA3",2,"CTNNA3"
"CTNNB1",2,"CTNNB1"
"CTNND2",2,"CTNND2"
"CTSS",2,"CTSS"
"CTTNBP2",2,"CTTNBP2"
"CUX1",2,"CUX1"
"CYLC2",2,"CYLC2"
"CYP11A1",2,"CYP11A1"
"CYP2C9",2,"CYP2C9"
"DCAF12L2",2,"DCAF12L2"
"DCT",2,"DCT"
"DDR2",2,"DDR2"
"DDX42",2,"DDX42"
"DDX46",2,"DDX46"
"DDX60",2,"DDX60"
"DGCR8",2,"DGCR8"
"DGKB",2,"DGKB"
"DHX29",2,"DHX29"
"DHX8",2,"DHX8"
"DLG2",2,"DLG2"
"DLG5",2,"DLG5"
"DLGAP5",2,"DLGAP5"
"DMP1",2,"DMP1"
"DMTN",2,"DMTN"
"DMXL1",2,"DMXL1"
"DMXL2",2,"DMXL2"
"DNAH7",2,"DNAH7"
"DNAJA2",2,"DNAJA2"
"DNAJC1",2,"DNAJC1"
"DNAJC11",2,"DNAJC11"
"DNTTIP1",2,"DNTTIP1"
"DOCK10",2,"DOCK10"
"DOCK2",2,"DOCK2"
"DOCK6",2,"DOCK6"
"DOCK8",2,"DOCK8"
"DOPEY1",2,"DOPEY1"
"DPYSL5",2,"DPYSL5"
"DRD4",2,"DRD4"
"DSCAML1",2,"DSCAML1"
"DSE",2,"DSE"
"DVL2",2,"DVL2"
"DYNC1H1",2,"DYNC1H1"
"DYRK4",2,"DYRK4"
"DYSF",2,"DYSF"
"E2F8",2,"E2F8"
"ECT2",2,"ECT2"
"EFCAB5",2,"EFCAB5"
"EFR3A",2,"EFR3A"
"EGFL8",2,"EGFL8"
"EIF2AK3",2,"EIF2AK3"
"EIF3F",2,"EIF3F"
"ELF4",2,"ELF4"
"ELOVL1",2,"ELOVL1"
"ENPP2",2,"ENPP2"
"EPB41L4A",2,"EPB41L4A"
"EPHB1",2,"EPHB1"
"ERBB3",2,"ERBB3"
"ERC1",2,"ERC1"
"ESCO2",2,"ESCO2"
"ESYT2",2,"ESYT2"
"ETS1",2,"ETS1"
"EXPH5",2,"EXPH5"
"FAM110B",2,"FAM110B"
"FAM117B",2,"FAM117B"
"FAM120B",2,"FAM120B"
"FAM129B",2,"FAM129B"
"FAM133A",2,"FAM133A"
"FAM155A",2,"FAM155A"
"FAM169B",2,"FAM169B"
"FAM217A",2,"FAM217A"
"FAM78A",2,"FAM78A"
"FAM98B",2,"FAM98B"
"FANCA",2,"FANCA"
"FANCD2",2,"FANCD2"
"FAR1",2,"FAR1"
"FAT2",2,"FAT2"
"FBN3",2,"FBN3"
"FBXO11",2,"FBXO11"
"FBXO9",2,"FBXO9"
"FCRL2",2,"FCRL2"
"FGD1",2,"FGD1"
"FGD2",2,"FGD2"
"FGD4",2,"FGD4"
"FGD5",2,"FGD5"
"FGF13",2,"FGF13"
"FLG",2,"FLG"
"FLG2",2,"FLG2"
"FLNA",2,"FLNA"
"FMNL1",2,"FMNL1"
"FOCAD",2,"FOCAD"
"FOLH1",2,"FOLH1"
"FOXK2",2,"FOXK2"
"FPGT-TNNI3K",2,"FPGT-TNNI3K"
"FRMPD2",2,"FRMPD2"
"FRMPD3",2,"FRMPD3"
"FRMPD4",2,"FRMPD4"
"FRRS1",2,"FRRS1"
"FRY",2,"FRY"
"FRYL",2,"FRYL"
"FSCB",2,"FSCB"
"FSIP2",2,"FSIP2"
"FUT3",2,"FUT3"
"FZD8",2,"FZD8"
"GABRA2",2,"GABRA2"
"GALNT7",2,"GALNT7"
"GALNTL5",2,"GALNTL5"
"GALT",2,"GALT"
"GARNL3",2,"GARNL3"
"GAS2L3",2,"GAS2L3"
"GBA2",2,"GBA2"
"GBE1",2,"GBE1"
"GEMIN5",2,"GEMIN5"
"GFI1B",2,"GFI1B"
"GIMAP6",2,"GIMAP6"
"GIMAP8",2,"GIMAP8"
"GLB1L",2,"GLB1L"
"GLI2",2,"GLI2"
"GLI3",2,"GLI3"
"GLP2R",2,"GLP2R"
"GNAL",2,"GNAL"
"GNAS",2,"GNAS"
"GOLGB1",2,"GOLGB1"
"GPBP1",2,"GPBP1"
"GPR101",2,"GPR101"
"GPR139",2,"GPR139"
"GPR151",2,"GPR151"
"GRAMD1C",2,"GRAMD1C"
"GRAMD2",2,"GRAMD2"
"GRIA2",2,"GRIA2"
"GRIA4",2,"GRIA4"
"GRID2",2,"GRID2"
"GRIK1",2,"GRIK1"
"GRIK4",2,"GRIK4"
"GRIN2A",2,"GRIN2A"
"GRIN2D",2,"GRIN2D"
"GSTO2",2,"GSTO2"
"GUCY1A3",2,"GUCY1A3"
"HAS1",2,"HAS1"
"HCN1",2,"HCN1"
"HEATR1",2,"HEATR1"
"HEATR5B",2,"HEATR5B"
"HEATR6",2,"HEATR6"
"HECTD4",2,"HECTD4"
"HECW2",2,"HECW2"
"HELQ",2,"HELQ"
"HELZ2",2,"HELZ2"
"HID1",2,"HID1"
"HIF1A",2,"HIF1A"
"HIF3A",2,"HIF3A"
"HLA-DPB1",2,"HLA-DPB1"
"HNF4A",2,"HNF4A"
"HNRNPUL2",2,"HNRNPUL2"
"HOOK1",2,"HOOK1"
"HOOK3",2,"HOOK3"
"HP1BP3",2,"HP1BP3"
"HSP90AA1",2,"HSP90AA1"
"HSP90AB1",2,"HSP90AB1"
"HSPD1",2,"HSPD1"
"HTR3B",2,"HTR3B"
"HTR3C",2,"HTR3C"
"HYPK",2,"HYPK"
"IGSF1",2,"IGSF1"
"IGSF10",2,"IGSF10"
"IKBKAP",2,"IKBKAP"
"IL16",2,"IL16"
"IL18R1",2,"IL18R1"
"IMPDH2",2,"IMPDH2"
"IMPG1",2,"IMPG1"
"INADL",2,"INADL"
"INPP4B",2,"INPP4B"
"INTU",2,"INTU"
"IRF3",2,"IRF3"
"IRF5",2,"IRF5"
"IRS1",2,"IRS1"
"IRS2",2,"IRS2"
"ITGA10",2,"ITGA10"
"ITGB1",2,"ITGB1"
"ITGB3",2,"ITGB3"
"ITGBL1",2,"ITGBL1"
"JAK2",2,"JAK2"
"JAKMIP1",2,"JAKMIP1"
"JRKL",2,"JRKL"
"KANK1",2,"KANK1"
"KANK2",2,"KANK2"
"KAT6A",2,"KAT6A"
"KAT6B",2,"KAT6B"
"KBTBD8",2,"KBTBD8"
"KCNC3",2,"KCNC3"
"KCND3",2,"KCND3"
"KCNMA1",2,"KCNMA1"
"KCNS2",2,"KCNS2"
"KCNU1",2,"KCNU1"
"KDM3A",2,"KDM3A"
"KDM3B",2,"KDM3B"
"KIAA0355",2,"KIAA0355"
"KIAA0922",2,"KIAA0922"
"KIAA1279",2,"KIAA1279"
"KIAA1429",2,"KIAA1429"
"KIAA1549",2,"KIAA1549"
"KIAA1549L",2,"KIAA1549L"
"KIAA1551",2,"KIAA1551"
"KIAA1586",2,"KIAA1586"
"KIAA1958",2,"KIAA1958"
"KIF15",2,"KIF15"
"KIF1B",2,"KIF1B"
"KIF20B",2,"KIF20B"
"KLHL5",2,"KLHL5"
"KMT2D",2,"KMT2D"
"KPNA1",2,"KPNA1"
"KRBA2",2,"KRBA2"
"KRT85",2,"KRT85"
"KRTAP21-2",2,"KRTAP21-2"
"KSR2",2,"KSR2"
"LAMC2",2,"LAMC2"
"LAMC3",2,"LAMC3"
"LAMP3",2,"LAMP3"
"LDHA",2,"LDHA"
"LETM1",2,"LETM1"
"LILRB1",2,"LILRB1"
"LINGO1",2,"LINGO1"
"LINGO2",2,"LINGO2"
"LONRF3",2,"LONRF3"
"LPAR6",2,"LPAR6"
"LPP",2,"LPP"
"LRFN3",2,"LRFN3"
"LRGUK",2,"LRGUK"
"LRRC37A3",2,"LRRC37A3"
"LRRC40",2,"LRRC40"
"LRRC49",2,"LRRC49"
"LRRC4C",2,"LRRC4C"
"LRRC8A",2,"LRRC8A"
"LRRCC1",2,"LRRCC1"
"LRRIQ3",2,"LRRIQ3"
"LSAMP",2,"LSAMP"
"LTV1",2,"LTV1"
"LUC7L3",2,"LUC7L3"
"LY75",2,"LY75"
"MADD",2,"MADD"
"MAGEB6",2,"MAGEB6"
"MAGI3",2,"MAGI3"
"MAP1A",2,"MAP1A"
"MAP1B",2,"MAP1B"
"MAP2K6",2,"MAP2K6"
"MAP3K15",2,"MAP3K15"
"MAP3K8",2,"MAP3K8"
"MAP4K4",2,"MAP4K4"
"MAP7D2",2,"MAP7D2"
"MAPK6",2,"MAPK6"
"MAPKBP1",2,"MAPKBP1"
"MCF2",2,"MCF2"
"MCM4",2,"MCM4"
"MCMBP",2,"MCMBP"
"MCPH1",2,"MCPH1"
"MCTP2",2,"MCTP2"
"MEA1",2,"MEA1"
"MED12L",2,"MED12L"
"MEFV",2,"MEFV"
"MEN1",2,"MEN1"
"METTL2B",2,"METTL2B"
"MGAT5B",2,"MGAT5B"
"MKLN1",2,"MKLN1"
"MLIP",2,"MLIP"
"MLLT4",2,"MLLT4"
"MMP13",2,"MMP13"
"MMP21",2,"MMP21"
"MORC4",2,"MORC4"
"MOV10",2,"MOV10"
"MPDZ",2,"MPDZ"
"MPHOSPH8",2,"MPHOSPH8"
"MRE11A",2,"MRE11A"
"MROH2B",2,"MROH2B"
"MRPL41",2,"MRPL41"
"MRS2",2,"MRS2"
"MSANTD2",2,"MSANTD2"
"MSLNL",2,"MSLNL"
"MTMR6",2,"MTMR6"
"MUC17",2,"MUC17"
"MUC7",2,"MUC7"
